Timestamp,Q1,Q2,Q3,Q4,X,Y,Z,Pitch,Tau1,Tau2,Tau3,Tau4,TotalPower,PlcStatus,LatencyMs
2026-08-24 14:22:53.904,0.00,60.52,49.66,0.00,-5.02,0.00,605.70,110.17,0.00,1.85,-0.85,-0.12,0.00,NORMAL,0.0
2026-08-24 14:22:53.403,0.00,60.52,49.66,0.00,-5.02,0.00,605.70,110.17,0.00,1.85,-0.85,-0.12,0.00,NORMAL,0.0
2026-08-24 14:22:52.901,0.00,60.52,49.66,0.00,-5.02,0.00,605.70,110.17,0.00,1.85,-0.85,-0.12,0.00,NORMAL,0.0
2026-08-24 14:22:52.400,0.00,60.52,49.66,0.00,-5.02,0.00,605.70,110.17,0.00,1.85,-0.85,-0.12,0.00,NORMAL,0.0
2026-08-24 14:22:51.890,0.00,60.52,49.66,0.00,-5.02,0.00,605.70,110.17,0.00,1.85,-0.85,-0.12,0.00,NORMAL,0.0
2026-08-24 14:22:51.380,0.00,60.52,49.66,0.00,-5.02,0.00,605.70,110.17,0.00,1.85,-0.85,-0.12,0.00,NORMAL,0.0
2026-08-24 14:22:50.864,0.00,60.52,49.66,0.00,-5.02,0.00,605.70,110.17,0.00,1.85,-0.85,-0.12,0.00,NORMAL,0.0
2026-08-24 14:22:50.353,0.00,60.52,49.66,0.00,-5.02,0.00,605.70,110.17,0.00,1.85,-0.85,-0.12,0.00,NORMAL,0.0
2026-08-24 14:22:49.842,0.00,60.52,49.66,0.00,-5.02,0.00,605.70,110.17,0.00,1.85,-0.85,-0.12,0.00,NORMAL,0.0
2026-08-24 14:22:49.332,0.00,60.52,49.66,0.00,-5.02,0.00,605.70,110.17,0.00,1.85,-0.85,-0.12,0.00,NORMAL,0.0
2026-08-24 14:22:48.822,0.00,60.52,49.66,0.00,-5.02,0.00,605.70,110.17,0.00,1.85,-0.85,-0.12,0.00,NORMAL,0.0
2026-08-24 14:22:48.311,0.00,60.52,49.66,0.00,-5.02,0.00,605.70,110.17,0.00,1.85,-0.85,-0.12,0.00,NORMAL,0.0
2026-08-24 14:22:47.810,0.00,60.52,49.66,0.00,-5.02,0.00,605.70,110.17,0.00,1.85,-0.85,-0.12,0.00,NORMAL,0.0
2026-08-24 14:22:47.309,0.00,60.52,49.66,0.00,-5.02,0.00,605.70,110.17,0.00,1.85,-0.85,-0.12,0.00,NORMAL,0.0
2026-08-24 14:22:46.799,0.00,60.52,49.66,0.00,-5.02,0.00,605.70,110.17,0.00,1.85,-0.85,-0.12,0.00,NORMAL,0.0
2026-08-24 14:22:46.298,0.00,60.52,49.66,0.00,-5.02,0.00,605.70,110.17,0.00,1.85,-0.85,-0.12,0.00,NORMAL,0.0
2026-08-24 14:22:45.788,0.00,60.52,49.66,0.00,-5.02,0.00,605.70,110.17,0.00,1.85,-0.85,-0.12,0.00,NORMAL,0.0
