Timestamp,Q1,Q2,Q3,Q4,X,Y,Z,Pitch,Tau1,Tau2,Tau3,Tau4,TotalPower,PlcStatus,LatencyMs
2026-08-24 12:14:40.944,0.00,-39.97,137.40,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:40.434,0.00,-39.97,137.40,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:39.924,0.00,-39.97,137.40,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:39.422,0.00,-39.97,137.40,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:38.911,0.00,-39.97,137.40,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:38.400,0.00,-39.97,137.40,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:37.890,0.00,-39.97,137.40,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:37.380,0.00,-39.97,137.40,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:36.869,0.00,-39.97,137.40,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:36.359,0.00,-39.97,137.40,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:35.849,0.00,-39.97,137.40,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:35.338,0.00,-39.97,137.40,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:34.828,0.00,-39.97,137.40,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:34.318,0.00,-39.97,137.40,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:33.807,0.00,-39.97,137.40,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:33.297,0.00,-39.97,137.40,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:32.786,0.00,-39.97,137.40,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:32.276,0.00,-39.97,137.40,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:31.766,0.00,-39.97,137.40,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:31.256,0.00,-39.97,137.40,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:30.745,0.00,-39.97,137.40,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:30.234,0.00,-39.97,137.40,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:29.724,0.00,-39.97,137.40,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:29.214,0.00,-39.97,137.40,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
